,InvoiceDate2,M_NetFare2
1,4/1/2018,18090
2,4/2/2018,36187
3,4/4/2018,84169
4,4/5/2018,31693
5,4/6/2018,13392.16667
6,4/7/2018,28967.88889
7,4/8/2018,13936
8,4/9/2018,83698.33333
9,4/10/2018,36350
10,4/11/2018,19201
11,4/13/2018,34428.27273
12,4/16/2018,61723
13,4/17/2018,25861
14,4/19/2018,7106.6
15,4/20/2018,59143
16,4/22/2018,7352
17,4/23/2018,36195.33333
18,4/24/2018,46579.2
19,4/25/2018,46725.7
20,4/26/2018,31601.46154
21,4/27/2018,27193.35714
22,4/28/2018,17172
23,4/30/2018,22233.125
24,5/1/2018,17089
25,5/2/2018,42164.5
26,5/3/2018,19532
27,5/4/2018,31979.33333
28,5/5/2018,31855
29,5/6/2018,29468.5
30,5/7/2018,52865.6
31,5/8/2018,31033.33333
32,5/9/2018,43176.4
33,5/10/2018,18834
34,5/11/2018,14944.7
35,5/14/2018,33660
36,5/15/2018,58571.6
37,5/16/2018,14114.83333
38,5/17/2018,22219
39,5/18/2018,36883.5
40,5/19/2018,54238
41,5/20/2018,32419
42,5/22/2018,46998
43,5/23/2018,12580.16667
44,5/24/2018,41355.1
45,5/25/2018,14673.33333
46,5/27/2018,23673
47,5/28/2018,17467
48,5/29/2018,34031.66667
49,5/30/2018,51576
50,6/1/2018,21103.75
51,6/2/2018,149469
52,6/3/2018,45302.5
53,6/4/2018,34030.25
54,6/5/2018,20948.6
55,6/7/2018,42927.66667
56,6/8/2018,436365.5
57,6/9/2018,24822.58824
58,6/10/2018,43473.66667
59,6/11/2018,21238
60,6/12/2018,44709.5
61,6/13/2018,30367.25
62,6/14/2018,3573
63,6/15/2018,30062
64,6/16/2018,19448
65,6/18/2018,8250
66,6/19/2018,37858.75
67,6/20/2018,17351.16667
68,6/21/2018,29352.5
69,6/22/2018,442.75
70,6/23/2018,14481.66667
71,6/26/2018,69872
72,6/27/2018,9109.529412
73,6/28/2018,42362.08333
74,6/29/2018,22794.66667
75,6/30/2018,12780.6
76,7/1/2018,48591
77,7/2/2018,10768.875
78,7/3/2018,12203.6
79,7/5/2018,22206.5
80,7/6/2018,29656.4
81,7/7/2018,40698.71429
82,7/8/2018,10790.75
83,7/9/2018,42257.71429
84,7/10/2018,17640.16667
85,7/11/2018,37278.33333
86,7/12/2018,34271
87,7/13/2018,27400.55556
88,7/15/2018,21067
89,7/16/2018,79143
90,7/17/2018,18433.6
91,7/18/2018,33397.66667
92,7/19/2018,1595.090909
93,7/20/2018,897.4444444
94,7/21/2018,9877.25
95,7/23/2018,-26871.07692
96,7/24/2018,16176.92857
97,7/25/2018,34061.5
98,7/26/2018,28491.41667
99,7/27/2018,17620.22222
100,7/28/2018,26904.8
101,7/30/2018,61221
102,7/31/2018,15161
103,8/1/2018,40295.33333
104,8/2/2018,14390.3
105,8/3/2018,46261.6
106,8/4/2018,25039.28571
107,8/5/2018,16661.5
108,8/6/2018,49777.5
109,8/7/2018,18954.2
110,8/8/2018,61330.2
111,8/9/2018,76154.75
112,8/10/2018,16016.875
113,8/11/2018,10187
114,8/12/2018,20431.5
115,8/13/2018,4284.5
116,8/14/2018,19708.5
117,8/15/2018,29626
118,8/16/2018,64865.75
119,8/17/2018,160584.5
120,8/18/2018,10001
121,8/19/2018,38626
122,8/20/2018,112703.2
123,9/1/2018,27775
124,9/2/2018,16828
125,9/3/2018,20378.25
126,9/4/2018,-6379.130435
127,9/5/2018,19157.27273
128,9/6/2018,44614.1875
129,9/7/2018,29631
130,9/8/2018,12143.28571
131,9/9/2018,39048.57143
132,9/10/2018,34049.27273
133,9/11/2018,38166
134,9/12/2018,22108.42857
135,9/13/2018,49283.76923
136,9/14/2018,43365.16667
137,9/15/2018,62153.5
138,9/16/2018,35106
139,9/17/2018,13788.36364
140,9/18/2018,20207.88571
141,9/19/2018,35769.38095
142,9/20/2018,25391.42857
143,9/21/2018,26500.23077
144,9/22/2018,38719.7931
145,9/23/2018,14161.77778
146,9/24/2018,20191.23529
147,9/25/2018,-5896.4
148,9/26/2018,58673.52
149,9/27/2018,21258.9375
150,9/28/2018,24746.34783
151,9/29/2018,19951.38462
152,9/30/2018,26648.33333
153,10/1/2018,18847.25
154,10/2/2018,74407
155,10/3/2018,25792.10714
156,10/4/2018,23811
157,10/5/2018,27335.58333
158,10/6/2018,40319.30769
159,10/7/2018,82758.33333
160,10/8/2018,30977.1
161,10/9/2018,19441.21053
162,10/10/2018,40720.85185
163,10/11/2018,27851.04
164,10/12/2018,25704.8
165,10/13/2018,41015.4
166,10/14/2018,24650.85714
167,10/15/2018,21912.59259
168,10/16/2018,37834.71429
169,10/17/2018,18622.58824
170,10/18/2018,33757.90476
171,10/19/2018,33514.5
172,10/20/2018,28462.07143
173,10/21/2018,23691.07143
174,10/22/2018,16648.2
175,10/23/2018,27416.3
176,10/24/2018,-12721.15385
177,10/25/2018,16609.82759
178,10/26/2018,27800.69231
179,10/27/2018,35099.76
180,10/28/2018,14472
181,10/29/2018,30768.03704
182,10/30/2018,36553.88889
183,10/31/2018,27099.53846
184,11/1/2018,16647.83333
185,11/2/2018,17102.4
186,11/3/2018,5679.125
187,11/4/2018,6047
188,11/5/2018,36257.25
189,11/6/2018,55349.14286
190,11/7/2018,25795.90909
191,11/8/2018,17867.94118
192,11/9/2018,11008.02632
193,11/10/2018,31204
194,11/11/2018,33553.14286
195,11/12/2018,47937.27273
196,11/13/2018,24387.33333
197,11/14/2018,29266.5
198,11/15/2018,26933.08
199,11/16/2018,26364.1875
200,11/17/2018,30911.5
201,11/18/2018,40709
202,11/19/2018,58236.5
203,11/20/2018,3733.464286
204,11/21/2018,27385.26316
205,11/22/2018,22554.2
206,11/23/2018,19995.90909
207,11/24/2018,32254.45455
208,11/25/2018,9966.857143
209,11/26/2018,17494.55172
210,11/27/2018,42139.72222
211,11/28/2018,30097.73333
212,11/29/2018,59245.5
213,11/30/2018,21609.25
214,12/1/2018,46197.75
215,12/2/2018,22061.66667
216,12/3/2018,23461.07692
217,12/4/2018,34998.2
218,12/5/2018,53291.63636
219,12/6/2018,27384.3425
220,12/7/2018,26970.9375
221,12/8/2018,23061.3
222,12/9/2018,43907.55556
223,12/10/2018,47003.45125
224,12/11/2018,23750.30435
225,12/12/2018,25510.05
226,12/13/2018,16954.8
227,12/14/2018,4730.928571
228,12/15/2018,21638.96429
229,12/16/2018,15731.44444
230,12/17/2018,52864.91892
231,12/18/2018,26232.63636
232,12/19/2018,24736.375
233,12/20/2018,34896
234,12/21/2018,19177.18571
235,12/22/2018,23248.90909
236,12/23/2018,5829.285714
237,12/24/2018,26323.83333
238,12/25/2018,20126
239,12/26/2018,170.1764706
240,12/27/2018,12478.94737
241,12/28/2018,61118.41379
242,12/29/2018,18478.98267
243,12/30/2018,20986.5
244,12/31/2018,28876.26667
245,1/1/2019,19035
246,1/2/2019,16328.72222
247,1/3/2019,51791.15
248,1/4/2019,16915.64
249,1/5/2019,25638.71429
250,1/6/2019,22047.0025
251,1/7/2019,7167
252,1/8/2019,23794.66286
253,1/9/2019,23519.00528
254,1/10/2019,14745.1003
255,1/11/2019,20508.48649
256,1/12/2019,18485.7632
257,1/13/2019,16744.36636
258,1/14/2019,28263.69688
259,1/15/2019,35214.25
260,1/16/2019,13680.27188
261,1/17/2019,13372.843
262,1/18/2019,23800.83308
263,1/19/2019,19512.66129
264,1/20/2019,13327.05333
265,1/21/2019,14889.25
266,1/22/2019,14943.7551
267,1/23/2019,14045
268,1/24/2019,29680.69274
269,1/25/2019,17348.03448
270,1/26/2019,30326.1655
271,1/27/2019,9980.176471
272,1/28/2019,23736.13642
273,1/29/2019,15792.79167
274,1/30/2019,16739.82258
275,1/31/2019,10904.036
276,2/1/2019,10914.11169
277,2/2/2019,14665.05766
278,2/3/2019,12955.81818
279,2/4/2019,14470.15444
280,2/5/2019,11971.42424
281,2/6/2019,11826.52459
